ID,Stage,Stimulus word,Stimulus word_POS,PAUSE 1,Reaction 1,Reaction 1_POS,Type 1,Косинус_1_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_1_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 2,Reaction 2,Reaction 2_POS,TYPE 2,Косинус_2_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_2_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 3,Reaction 3,Reaction 3_POS,TYPE 3,Косинус_3_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_3_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 4,Reaction 4,Reaction_4_POS,TYPE 4,Косинус_4_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_4_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 5,Reaction 5,Reaction 5_POS,TYPE 5,Косинус_5_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_5_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli
19,1,Изображение 25,NA,3500,деревня,деревня_NOUN,FRAME,NA,NA,510,молоко,молоко_NOUN,FRAME,NA,NA,483,бидон,бидон_NOUN,FRAME,NA,NA,483,корова,корова_NOUN,FRAME,NA,NA,332,поле,поле_NOUN,FRAME,NA,NA
19,1,хотеть,хотеть_VERB,3095,мечтать,мечтать_VERB,SIMIL,"0,5081954598","0,6895011067",2892,Питер,питер_PROPN,PRECED,"0,4097908437","0,2182588726",2529,мороженое,мороженое_NOUN,OBJ_DIR,"0,1498423368","0,1732475758",4815,счастье,счастье_NOUN,OBJ_IND,"0,4009004235","0,3685615361",1139,полотно,полотно_NOUN,INDIV,"0,09417393804","0,1035625637"
19,1,маленький ,маленький_ADJ,2131,гриб ,гриб_NOUN,CHAR_DIR,"0,1947898418","0,1906645149",4966,спичечный коробок,спичечный_коробок_ADJ_NOUN,CHAR_DIR,NA,"0,3731673658",28977,гвоздь,гвоздь_NOUN,CHAR_DIR,"0,1548497379","0,2969496548",2643,муравей,муравей_NOUN,CHAR_DIR,"0,2060340196","0,1411671042",NA,NA,NA,NA,NA,"0,2853741348"
19,1,мама,мама_NOUN,1794,мягкий,мягкий_ADJ,MENTAL/CHAR_IND,"0,1392626017","0,06087511033",611,рука,рука_NOUN,FRAME,"0,2042526305","0,3538289964",388,объятия,объятие_NOUN,MENTAL,"0,2085286081","0,2204895318",951,кофта,кофта_NOUN,FRAME,"0,3070091605","0,320605129",2761,сырники,сырник_NOUN,FRAME,"0,3369521499","0,2402543426"
19,1,Изображение 29,NA,4722,пара,пара_NOUN,SIMIL,NA,NA,2029,любовь,любовь_NOUN,MENTAL,NA,NA,504,доверие,доверие_NOUN,MENTAL,NA,NA,1020,отдых,отдых_NOUN,FRAME,NA,NA,965,счастье,счастье_NOUN,MENTAL,NA,NA
19,1,много,много_ADV,2698,заботы,забота_NOUN,OBJ_IND,"0,2535113692","0,3394211233",833,хлопоты,хлопоты_NOUN,OBJ_IND,"0,1451619416","0,3542022705",579,дела,дело_NOUN,OBJ_IND,"0,1990222335","0,3522054851",4627,деньги,деньги_NOUN,OBJ_IND,"0,3385166526","0,3265001774",2678,трава,трава_NOUN,OBJ_IND,"0,1966868937","0,1386472285"
19,1,мир,мир_NOUN,2775,планета,планета_NOUN,SIMIL,"0,3773159981","0,7804208398",552,голубь,голубь_NOUN,PRECED,"0,07851255685","0,4099751711",21112,клевер,клевер_NOUN,PRECED,"0,03681815788","0,4513630569",4769,солнце,солнце_NOUN,FRAME,"0,07332210243","0,4211502075",3641,турист,турист_NOUN,FRAME,"0,07897384465","0,3340219259"
19,1,начало,начало_NOUN,6306,путь,путь_NOUN,OBJ_IND,"0,06775125116","0,769210875",17559,тесёмка,тесемок_NOUN,INDIV,NA,"0,5271065831",2745,попугай,попугай_NOUN,INDIV,"-0,07470859587","0,4898506105",9814,кроссовок,кроссовка_NOUN,INDIV,"-0,007674660068","0,5072350502",5974,часы,часы_NOUN,FRAME,"-0,04547143728","0,5587729216"
19,1,Изображение 33,NA,4907,вечна,вечный_ADJ,MENTAL,NA,NA,293,почки,почка_NOUN,FRAME,NA,NA,1069,зелень,зелень_NOUN,FRAME,NA,NA,537,лужи,лужа_NOUN,FRAME,NA,NA,539,ручей,ручей_NOUN,FRAME,NA,NA
19,1,обещать,обещать_VERB,3548,письмо,письмо_NOUN,FRAME,"0,2619563043","0,3490434289",705,слова,слово_NOUN,FRAME,"0,09333177656","0,5095382929",582,рот,рот_NOUN,INDIV,"0,02868688852","0,3686360121",10266,свиток,свиток_NOUN,INDIV,"0,07345835119","0,2795993388",12963,лента,лента_NOUN,INDIV/PRECED,"0,01494662557","0,374398917"
19,1,плохо,плохой_ADJ,3059,туча,туча_NOUN,SPECIFIC,"0,0597691834","0,2925049961",357,подушка,подушка_NOUN,SPECIFIC/INDIV,"0,04381797463","0,2565585375",661,платок,платок_NOUN,SPECIFIC/INDIV,"-0,0003774532233","0,2238233984",2853,серый,серый_ADJ,PRECED,"0,09969427437","0,456977874",6973,пакет,пакет_NOUN,SPECIFIC/INDIV,"0,01408801135","0,2329603285"
19,1,ненавидеть,ненавидеть_VERB,3117,злость,злость_NOUN,MENTAL,"0,3769756556","0,4721099734",407,агрессия,агрессия_NOUN,MENTAL,"0,1975223869","0,1176782846",696,крик,крик_NOUN,OBJ_DIR/MENTAL,"0,1758944094","0,3800020516",7651,столпотворение,столпотворение_NOUN,OBJ_IND,"0,06637994945","0,2736833394",10608,давление,давление_NOUN,OBJ_DIR,"0,007788593881","-0,004072492011"
19,1,помощь,помощь_NOUN,9587,стакан,стакан_NOUN,PRECED,"0,08815643191","0,3940809369",2227,рука,рука_NOUN,PRECED,"0,2991766036","0,5048439503",3310,вода,вода_NOUN,PRECED,"0,1640944779","0,3271224499",3228,слово,слово_NOUN,INDIV,"0,1225392148","0,5618280172",3497,волосы,волос_NOUN,INDIV,"0,1158647686","0,3629014492"
19,1,Изображение 38,NA,4853,успех,успех_NOUN,FRAME/CAUSE,NA,NA,1344,деньги,деньги_NOUN,FRAME,NA,NA,686,работа,работа_NOUN,CAUSE,NA,NA,7342,выгода,выгода_NOUN,FRAME,NA,NA,1499,цель,цель_NOUN,FRAME,NA,NA
19,1,путь,путь_NOUN,5073,дорога,дорога_NOUN,SIMIL,"0,5957087278","0,8329578638",2907,лес,лес_NOUN,FRAME,"0,2866225541","0,7998563051",1484,сосна,сосна_NOUN,FRAME,"0,1584670842","0,6345371008",1055,птица,птица_NOUN,FRAME,"0,1272464395","0,340282321",2451,шум,шум_NOUN,MENTAL,"0,1187596396","0,4235060513"
19,1,радость,радость_NOUN,1810,улыбка,улыбка_NOUN,MENTAL,"0,4531371593","0,7814006805",357,смех,смех_NOUN,MENTAL,"0,4505685568","0,7739839554",5921,солнце,солнце_NOUN,SPECIFIC,"0,3220624924","0,4675758779",3700,парк,парк_NOUN,SPECIFIC,"-0,008386429399","0,2753536403",460,прогулка,прогулка_NOUN,SPECIFIC,"0,1811008751","0,4082892537"
19,1,Изображение 41,NA,3116,костер,костер_NOUN,SIMIL,NA,NA,3261,пламя,пламя_NOUN,SIMIL,NA,NA,3248,фильм,фильм_NOUN,FRAME,NA,NA,811,гитара,гитара_NOUN,FRAME,NA,NA,4423,страх,страх_NOUN,MENTAL,NA,NA
19,1,результат,результат_NOUN,2867,ЕГЭ,егэ_NOUN,PRECED/OBJ_DIR,NA,"0,6616740227",1549,поступление,поступление_NOUN,SPECIFIC,"0,04019992054","0,5553631783",957,финиш,финиш_NOUN,SIMIL,"0,281236589","0,6613953114",476,институт,институт_NOUN,FRAME,"-0,05997967348","0,644171536",714,оценка,оценка_NOUN,SIMIL,"0,3942099214","0,7148120403"
19,1,русский,русский_ADJ,1624,язык,язык_NOUN,CHAR_DIR,"0,1152812243","0,4203971624",890,человек,человек_NOUN,CHAR_DIE,"0,009211798199","0,2816056311",1849,нрав,нрав_NOUN,CHAR_DIR,"0,1905645877","0,3699542582",2958,душа,душа_NOUN,CHAR_IND,"0,06682866067","0,3063731194",452,взгляд,взгляд_NOUN,CHAR_DIR,"0,134957552","0,1578722149"
19,1,свет,свет_NOUN,2394,лампочка,лампочка_NOUN,FUNC,"0,3737563193","0,720688045",2045,тоннель,тоннель_NOUN,PRECED,"0,1252433211","0,5260487795",11159,шаг,шаг_NOUN,INDIV,"0,136150226","0,5437331796",281,закат,закат_NOUN,FRAME,"0,395543009","0,4938592017",1335,лето,лето_NOUN,FRAME,"0,03275243938","0,4519652128"
19,1,Изображение 45,NA,3682,мысли,мысль_NOUN,FRAME,NA,NA,1015,проблемы,проблема_NOUN,FRAME,NA,NA,1477,раздумья,раздумье_NOUN,FRAME,NA,NA,15205,учеба,учеба_NOUN,FRAME,NA,NA,1296,портфель,портфель_NOUN,FRAME,NA,NA
19,1,семья,семья_NOUN,2260,тепло,теплый_ADJ,MENTAL,"0,03536957502","0,1483393013",666,радость,радость_NOUN,MENTAL,"0,1415972263","0,4304852486",608,прогулка,прогулка_NOUN,FUNC,"0,04751081765","0,330738008",1289,чай,чай_NOUN,FRAME,"0,1543994844","0,3178046048",420,разговоры,разговор_NOUN,FRAME,"0,1319651753","0,5023750067"
